"fipscounty","AAR_county","AAR_norm","decile","bottom_decile","upper_decile","negative_shock","positive_shock","unaffected","aar_category","quartile","bottom_quartile","upper_quartile"
1043,-0.0697014714913258,-0.0400727903583673,6,"0","0",0,0,"1","1",3,"0","0"
1045,-0.117346051707674,-0.438454817322313,4,"0","0",0,0,"0","3",2,"0","0"
1047,-0.066737938149519,-0.0152930900372985,6,"0","0",0,0,"1","1",3,"0","0"
1049,-0.132865670154399,-0.568222715925638,3,"0","0",0,0,"0","3",1,"1","0"
1051,-0.112357899022677,-0.396746182920846,4,"0","0",0,0,"0","3",2,"0","0"
1053,-0.177514948482299,-0.941559408619233,2,"0","0",1,0,"0","0",1,"1","0"
1055,-0.105248266122125,-0.33729870845408,4,"0","0",0,0,"0","3",2,"0","0"
1057,-0.110548108200791,-0.381613545950813,4,"0","0",0,0,"0","3",2,"0","0"
1059,-0.158662583548738,-0.783924619495435,2,"0","0",1,0,"0","0",1,"1","0"
1061,-0.150287309234053,-0.713894434682968,2,"0","0",1,0,"0","0",1,"1","0"
1063,-0.27641032616139,-1.76847698955412,1,"1","0",1,0,"0","0",1,"1","0"
