"fipscounty","year","AAR_county","aar_category","quartile","post","avg_unemp_rate","total_pop","time_to_treat","treat","statefips","adj1","adj2","mfa_exposure","chn_subsidies","chn_tariffs","manuf_share","ntr_ratees","medianhhinc1990","pctnocollege1990","pctveteran1990","pctforeignborn1990","pctmanufacturing1990","laborforce","nicivpop","lfpr"
16063,2001,0.217677951622695,2,4,1,4.13076923076923,4159,1,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2229,2991.6,74.5086241476133
16063,2002,0.217677951622695,2,4,1,5.39230769230769,4242,2,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2293,3029.2,75.6965535454906
16063,2003,0.217677951622695,2,4,1,5.80769230769231,4372,3,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2269,3109.2,72.9769715682491
16063,2004,0.217677951622695,2,4,1,5.6,4441,4,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2320,3157,73.4874881216345
16063,2005,0.217677951622695,2,4,1,4.46153846153846,4694,5,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2422,3325.4,72.8333433571901
16063,2006,0.217677951622695,2,4,1,4.52307692307692,4762,6,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2577,3389.4,76.0311559568065
16063,2007,0.217677951622695,2,4,1,3.51538461538462,4938,7,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2565,3484.2,73.6180471844326
16063,2008,0.217677951622695,2,4,1,5.56923076923077,5041,8,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2570,3557.6,72.2397121655048
16063,2009,0.217677951622695,2,4,1,12.0153846153846,5151,9,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2584,3626.8,71.2473806110069
16063,2010,0.217677951622695,2,4,1,12.9384615384615,5206,10,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2709,3626.8,74.6939450755487
