"fipscounty","control_ind","unshock_ind","aar_pntr","aar_tw","AAR_county1","AAR_county2","AAR_county3","AAR_county4","AAR_county5","AAR_county6","AAR_county7","year","quarter","avg_unemp_rate","post","treat","total_pop","laborforce","nicivpop","lfpr","time_period"
51735,1,0,-0.0361660964467098,-0.0176106830790094,-0.0226894880934957,0.0678158062081392,-0.00996576537713345,-0.000552062085267692,-0.0127961133183022,0.00539929416409286,-0.150486453051099,2019,2019 Q3,2.33333333333333,1,0,12271,6491,9689.2,66.9921149320893,15
51735,1,0,-0.0361660964467098,-0.0176106830790094,-0.0226894880934957,0.0678158062081392,-0.00996576537713345,-0.000552062085267692,-0.0127961133183022,0.00539929416409286,-0.150486453051099,2019,2019 Q4,2,1,0,12271,6491,9689.2,66.9921149320893,16
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2016,2016 Q1,5.5,0,0,14884,6720,12137,55.3678833319601,1
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2016,2016 Q2,5.2,0,0,14884,6720,12137,55.3678833319601,2
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2016,2016 Q3,5.9,0,0,14884,6720,12137,55.3678833319601,3
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2016,2016 Q4,5.16666666666667,0,0,14884,6720,12137,55.3678833319601,4
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2017,2017 Q1,5.73333333333333,0,0,14994,6773,12214.2,55.4518511241014,5
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2017,2017 Q2,5.06666666666667,0,0,14994,6773,12214.2,55.4518511241014,6
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2017,2017 Q3,5.4,0,0,14994,6773,12214.2,55.4518511241014,7
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2017,2017 Q4,4.33333333333333,0,0,14994,6773,12214.2,55.4518511241014,8
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2018,2018 Q1,4.66666666666667,0,0,15002,6702,12209.4,54.8921322915131,9
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2018,2018 Q2,3.76666666666667,0,0,15002,6702,12209.4,54.8921322915131,10
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2018,2018 Q3,4,0,0,15002,6702,12209.4,54.8921322915131,11
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2018,2018 Q4,3.53333333333333,0,0,15002,6702,12209.4,54.8921322915131,12
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2019,2019 Q1,4.26666666666667,1,0,14954,6781,12245.2,55.3768007055826,13
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2019,2019 Q2,3.63333333333333,1,0,14954,6781,12245.2,55.3768007055826,14
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2019,2019 Q3,3.93333333333333,1,0,14954,6781,12245.2,55.3768007055826,15
51830,1,0,-0.0930777624838057,-0.012501720532108,-0.0226476108059554,0.0780061015251899,-0.0830735392374096,0.0551499123845717,-0.0369121424602184,0.0427574740523665,-0.1207922391833,2019,2019 Q4,3.06666666666667,1,0,14954,6781,12245.2,55.3768007055826,16
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2016,2016 Q1,5.6,0,0,22286,9972,17995.4,55.4141613968014,1
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2016,2016 Q2,4.7,0,0,22286,9972,17995.4,55.4141613968014,2
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2016,2016 Q3,4.73333333333333,0,0,22286,9972,17995.4,55.4141613968014,3
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2016,2016 Q4,4.53333333333333,0,0,22286,9972,17995.4,55.4141613968014,4
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2017,2017 Q1,4.96666666666667,0,0,22509,10247,18189,56.336247182363,5
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2017,2017 Q2,3.8,0,0,22509,10247,18189,56.336247182363,6
