"fipscounty","control_ind","unshock_ind","aar_pntr","aar_tw","AAR_county1","AAR_county2","AAR_county3","AAR_county4","AAR_county5","AAR_county6","AAR_county7"
1001,1,0,-0.204139362889162,-0.00707087862750102,0.0291857934970099,0.03026726165348,-0.0460696007700659,0.0952798750472625,-0.0179048469570152,0.00626220959585879,-0.146516842459037
1003,1,0,-0.101136366494104,-0.00317239757826519,0.0465722749907577,0.0316355814709893,-0.0402198069763737,0.0620427677746204,-0.0169184454644794,0.0228612133237394,-0.12818036816711
1023,1,0,-0.344466663767763,-0.0256582885233,-0.0371895854602673,0.0439776006307076,-0.111709140090345,-0.191896901626259,-0.0443101032610966,0.194895038103785,-0.0333749279596258
1025,1,0,-0.202650928847543,-0.0169890046309378,-0.0033038800619778,0.0828989890114424,-0.0523721117128406,-0.0575123252234285,-0.0375524685955098,0.0466330451867764,-0.0977142810210272
1035,0,1,-0.183678100816437,0.00177328050341895,0.00549169493871343,0.0132287144756301,0.0124904247798744,-0.106253344355882,-0.0532247768909398,0.126397441320833,0.0142828092557028
1045,1,0,-0.117346051707674,-0.0128652646210338,0.00593597881346907,0.054480892731557,-0.0287707416131987,-0.215901324163604,-0.049367959911391,-0.0139203498051643,0.157486651601096
1065,1,0,0.124209104891269,-0.00808549792795646,0.0215178167620563,0.0908617467918619,-0.0236962783211939,-0.0514350345790587,-0.0223074513596356,0.0602281137593305,-0.131767398549056
1079,1,0,-0.294574890293216,-0.0217609667935976,-0.0209760541931405,0.000302031891639586,-0.0665439792767969,-0.0838471319540387,-0.0298354742940487,0.120191082851136,-0.0716172425799338
1085,1,0,-0.159122862856183,-0.0474510331105202,-0.0572214652360604,0.0575350408804816,-0.104128921604052,-0.239837397980143,-0.172452177068076,0.120373467763678,0.0635742214705305
1119,1,0,-0.219461610137773,-0.00492395944735712,0.03993450214215,0.0753508926147343,-0.0461985923508702,-0.132642837300213,-0.0477300354203679,-0.0085486661196507,0.0853670203027176
1133,1,0,-0.109781236133428,-0.0401559372195573,-0.0658773240966041,0.148897002050681,-0.0185005672587147,-0.152941726947084,-0.0816784399569914,-0.0529700652486256,-0.0580204390795617
2188,0,1,-0.243987521869775,0.0480385005272231,0.17162789096358,0.122918235067115,-0.048528746748928,-0.183757000256244,-0.131578697822189,0.219209510042467,0.186378312444759
2240,0,1,-0.152608871633198,0.0304631912573272,-0.131718219921623,0.367674436770614,-0.0319385907374667,-0.0665774302749495,0.0429890710706547,-0.107575105677059,0.140388177571122
2290,0,1,0.104496221458854,0.0415391094997367,-0.201206618281759,0.373608858747724,0.0252722703414266,-0.0706954662445554,0.0646693286740809,-0.10471243926919,0.203837832530432
4005,1,0,-0.138135947024784,0.00455424528827933,0.0969331433026735,0.0494501692513881,-0.07829359298195,0.106008842904394,-0.0163052594975009,0.0151739512727826,-0.141087537233833
4011,0,1,-0.301166272217019,0.00710333086194459,0.111550367706033,0.301202901632894,-0.0474196372624635,-0.423332650595227,-0.285942728339545,0.157770020768663,0.235895042123258
4012,1,0,-0.186913295187715,0.0161115850879103,0.12524986379419,0.0532174557781329,-0.096906530025355,0.258096519932094,-0.0229868111029081,-0.0408550480344563,-0.163034354726325
4023,0,1,-0.0937994481356308,0.000926335377668174,0.0246695841928211,-0.011349355673416,-0.00366868381962496,-0.0232794197230933,-0.0205918596430951,0.0761397398727512,-0.0354356575626658
5003,1,0,-0.300772491205058,-0.0392134569017399,-0.0475310794976543,0.0335304091048574,-0.0584585996125752,-0.174889021683779,-0.0450140118521039,0.0875236478294431,-0.0696555426003675
5011,1,0,-0.208520449601184,-0.0147418605910338,-0.00835361484757425,0.119582405712468,-0.0611058911077001,-0.0755454804818076,-0.0373111746629703,0.0671126350252418,-0.107571903774895
5013,1,0,-0.0491123302040583,-0.00914862745305168,-0.0177983392253516,0.056950473697648,0.0249281501343919,-0.183305745602737,-0.0390791110192631,-0.0220566618120815,0.116320841656031
5025,1,0,-0.145245258705383,0.0153922434503558,0.0769438182412527,0.0669068205636862,-0.0607121551148338,-0.156926316657457,-0.0352905943217668,0.174673923472825,0.0421502079687826
5033,1,0,0.125985427845152,-0.00952541731408954,0.0553871483011205,0.00287604735934626,-0.0032392280466235,-0.0870608061434895,-0.0302466353972609,0.0062866380896293,-0.0106810853613488
5039,1,0,-0.295076149844251,-0.013341854155043,-0.00731509385903227,0.0960501335028651,-0.024667330367205,-0.0514788848950908,-0.00645014156313482,0.0441519658916681,-0.143683627795372
5053,1,0,-0.224047404849675,-0.0498062386841783,-0.0866711731598857,0.168381299666939,-0.0661808046151725,-0.143836271631074,-0.0646855954953707,-0.0351742070566907,-0.120476918497993
5061,1,0,-0.026359494680089,-0.028243856476158,-0.0306460003492961,0.0435565654615582,-0.0501642536823984,-0.150834370074594,-0.0535441006645084,0.101270695630245,-0.0573455316541123
5081,1,0,-0.337176293457748,-0.0349810673651371,-0.0708991077706747,0.0252689903731691,-0.0870514452313463,-0.193459771307318,-0.0433403888863044,0.164382295425109,-0.0397680441585949
5097,1,0,-0.210266645787112,-0.0192146827454911,-0.0406361821392481,0.130439214001333,0.0236216116913778,-0.0326059275368349,-0.101959558554922,-0.0324927250118265,-0.080869211668316
5099,0,1,-0.168657716909668,0.0523741630953526,0.0630131090168832,-0.000265436092938018,-0.0034599656838065,-0.0195371148594503,-0.0392087702020659,0.195389298243888,0.170688021244956
5101,0,1,-0.213381778886533,0.0236227662876381,0.0681963920365544,0.0702563355157866,-0.0588934488560456,0.196891230631496,0.0647907397272518,0.0457015236426596,-0.221583408684237
5135,1,0,-0.0274131870238045,0.000449595450983053,0.0406332458066174,0.00319620130526891,0.00115119198589417,0.0677450625558174,-0.00238834194724652,0.013497975279065,-0.120688166828535
5137,1,0,-0.148291113177226,0.0117340729224939,0.0516171386131731,0.0260474774786861,-0.0200832079194607,0.104842054439889,3.1890190254415e-05,0.0721811307356693,-0.152497973080754
5147,0,1,-0.0266667969806049,0.00572131624305437,0.0394746157399007,-0.0827974021897703,0.0394910229311859,-0.110478912759319,-0.0636320396971903,0.192223864904807,0.0257680647717659
6003,1,0,-0.421501634486539,-0.0156139480804394,0.0211352016156446,0.154532836906881,-0.125503863005251,0.155019102825534,-0.0219455782584596,-0.0669392747987659,-0.225596061848659
